City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,makueni boma,-1.8041,37.6203,296.77,45,75,5.79,KE,1696098281
1,zaragoza,41.6561,-0.8773,303.6,32,0,0.45,ES,1696098160
2,alice springs,-23.7,133.8833,289.9,31,22,0.0,AU,1696098281
3,homosassa springs,28.8036,-82.5759,306.06,71,75,3.6,US,1696098281
4,elliot lake,46.3834,-82.6331,294.97,55,48,2.87,CA,1696098281
5,port-aux-francais,-49.35,70.2167,275.37,92,100,9.35,TF,1696098281
6,hadibu,12.65,54.0333,300.34,82,100,0.98,YE,1696098282
7,basco,20.4487,121.9702,301.99,82,100,6.94,PH,1696098282
8,colonia,50.9333,6.95,289.72,76,0,2.06,DE,1696098101
9,georgetown,5.4112,100.3354,300.11,92,20,1.03,MY,1696098282
10,post,33.1909,-101.3782,303.14,40,58,8.3,US,1696098282
11,shache,38.4167,77.2406,291.72,34,100,5.63,CN,1696098282
12,ancud,-41.8697,-73.8203,284.65,72,100,3.08,CL,1696098282
13,vilyuchinsk,52.9306,158.4028,274.3,68,100,0.86,RU,1696098283
14,baoqing,46.3317,132.2111,282.7,90,97,2.67,CN,1696098050
15,adamstown,-25.066,-130.1015,293.68,88,100,11.86,PN,1696098283
16,praia da vitoria,38.7333,-27.0667,296.29,73,20,3.92,PT,1696098283
17,thompson,55.7435,-97.8558,286.24,82,75,3.09,CA,1696098283
18,san julian,21.0167,-102.1667,298.68,31,38,3.05,MX,1696098283
19,grytviken,-54.2811,-36.5092,275.73,90,25,4.74,GS,1696098283
20,ushuaia,-54.8,-68.3,286.96,26,0,2.06,AR,1696098284
21,shihezi,44.3,86.0333,287.75,66,100,4.15,CN,1696098284
22,beipiao,41.7919,120.7792,284.74,34,6,2.07,CN,1696098284
23,bethel,41.3712,-73.414,290.57,86,100,2.06,US,1696098284
24,isafjordur,66.0755,-23.124,280.17,70,75,4.12,IS,1696098284
25,moussoro,13.6408,16.4901,305.65,43,31,4.81,TD,1696098284
26,dickson,36.077,-87.3878,303.69,54,75,2.06,US,1696098284
27,kalmunai,7.4167,81.8167,299.23,84,99,6.75,LK,1696098285
28,waitangi,-43.9535,-176.5597,282.19,56,97,14.42,NZ,1696098285
29,longyearbyen,78.2186,15.6401,270.06,59,75,3.6,SJ,1696098285
30,wailua homesteads,22.0669,-159.378,299.39,86,75,6.17,US,1696098285
31,invercargill,-46.4,168.35,279.27,84,99,2.68,NZ,1696098285
32,the pas,53.8251,-101.2541,286.16,82,100,3.6,CA,1696098285
33,mata-utu,-13.2816,-176.1745,300.2,79,61,8.45,WF,1696098286
